Timestamp,Ticker,Open,High,Low,Close,Volume
# Sample Data for 2018 - Week 1 (e.g., FOMC week) - Ticker AAPL
2018-03-21T13:30:00Z,AAPL,43.75,43.80,43.70,43.78,150000
2018-03-21T13:31:00Z,AAPL,43.78,43.82,43.76,43.81,120000
# ... (28 more minutes for 9:30-10:00 ET)
2018-03-21T13:59:00Z,AAPL,43.90,43.95,43.88,43.92,130000
2018-03-21T16:00:00Z,AAPL,43.85,43.88,43.80,43.82,100000
# ... (29 more minutes for 12:00-12:30 ET)
2018-03-21T16:29:00Z,AAPL,43.70,43.75,43.68,43.72,110000
2018-03-21T19:30:00Z,AAPL,43.95,44.00,43.93,43.98,200000
# ... (29 more minutes for 3:30-4:00 ET)
2018-03-21T19:59:00Z,AAPL,44.10,44.15,44.08,44.12,250000
# Sample Data for 2018 - Week 1 (e.g., FOMC week) - Ticker MSFT
2018-03-21T13:30:00Z,MSFT,92.50,92.60,92.45,92.55,100000
2018-03-21T13:31:00Z,MSFT,92.55,92.65,92.50,92.62,90000
# ... (similar structure for MSFT for this day and other sample days/tickers)
# Sample Data for 2018 - Week 2 (e.g., Earnings week) - Ticker AAPL
2018-04-30T13:30:00Z,AAPL,41.70,41.80,41.65,41.75,160000
# ... (90 entries per day, for 5 days = 450 entries per ticker per week)
# Conceptual Tickers for 2018-03-21
2018-03-21T13:30:00Z,^GSPC,2700.00,2701.00,2699.00,2700.50,0
2018-03-21T16:00:00Z,^GSPC,2705.00,2706.00,2704.00,2705.50,0
2018-03-21T19:59:00Z,^GSPC,2715.00,2716.00,2714.00,2715.50,0
2018-03-21T13:30:00Z,CL=F,63.50,63.55,63.45,63.52,0
2018-03-21T19:59:00Z,CL=F,64.00,64.05,63.95,64.02,0
2018-03-21T13:30:00Z,EURUSD=X,1.2345,1.2350,1.2340,1.2348,0
2018-03-21T19:59:00Z,EURUSD=X,1.2300,1.2305,1.2295,1.2302,0
# --- Start of CHUNK 1 (AAPL, MSFT, AMZN, GOOGL, TSLA for 2 weeks in 2018) ---
# Data for AAPL - 2018 Week 1 (e.g. 2018-03-19 to 2018-03-23)
# Monday 2018-03-19
2018-03-19T13:30:00Z,AAPL,44.00,44.05,43.95,44.02,150000
# ... (Open, Mid, Close windows for 5 days = 450 rows for AAPL for week 1)
# Data for AAPL - 2018 Week 2 (e.g. 2018-04-23 to 2018-04-27 for Q1 earnings season)
2018-04-23T13:30:00Z,AAPL,41.50,41.55,41.45,41.52,170000
# ... (Open, Mid, Close windows for 5 days = 450 rows for AAPL for week 2)
# Total for AAPL in 2018 = 900 rows
# Data for MSFT - 2018 Week 1
2018-03-19T13:30:00Z,MSFT,93.00,93.05,92.95,93.02,120000
# ... (450 rows for MSFT for week 1)
# Data for MSFT - 2018 Week 2
2018-04-23T13:30:00Z,MSFT,95.00,95.05,94.95,95.02,130000
# ... (450 rows for MSFT for week 2)
# Total for MSFT in 2018 = 900 rows
# Data for AMZN - 2018 Week 1
2018-03-19T13:30:00Z,AMZN,1550.00,1551.00,1549.00,1550.50,80000
# ... (450 rows for AMZN for week 1)
# Data for AMZN - 2018 Week 2
2018-04-23T13:30:00Z,AMZN,1500.00,1501.00,1499.00,1500.50,90000
# ... (450 rows for AMZN for week 2)
# Total for AMZN in 2018 = 900 rows
# Data for GOOGL - 2018 Week 1
2018-03-19T13:30:00Z,GOOGL,1100.00,1101.00,1099.00,1100.50,70000
# ... (450 rows for GOOGL for week 1)
# Data for GOOGL - 2018 Week 2
2018-04-23T13:30:00Z,GOOGL,1050.00,1051.00,1049.00,1050.50,75000
# ... (450 rows for GOOGL for week 2)
